insurance_id,patient_id,primary_insured_name,primary_insured_birthdate,primary_insured_SSN,primary_insured_relationship,member_number,group_number
7628e959-fb67-4a01-bdcf-b3d5aaefe72c,1c76a779-4d6f-48e8-a000-3d9ff7a8cc3d,Kimberly Brennan,1914-05-01,988784782,spouse,MGLO59088182,404091
5cd4fa35-0187-4a5c-9b0e-dcf9cae12bce,4b2f1cb5-d80f-4d85-b6c5-8844dbc0cc41,Peter Castro,1974-05-19,568642279,self,XJYY70670998,717527
ca982581-7bcc-4c1c-b9cd-f050d631b828,62919c5a-bd69-4ab3-bd29-23bdb51b33cf,Kevin Williams,2010-09-08,816252712,spouse,YQNO9627845,275043
0605e25f-6487-4bae-a837-f29a3a085137,b7452e16-29f6-43f0-bb0f-67886c4cd3bf,Joel Galvan,1982-05-13,193390795,self,UVZW64676083,149127
5cd4fa35-0187-4a5c-9b0e-dcf9cae12bce,4d5cd1b5-f2b7-4efa-91a5-8f99b6fb9ad1,Christine Hudson,1942-05-28,120569378,self,KAUA33417343,20680
ca982581-7bcc-4c1c-b9cd-f050d631b828,34447033-4288-42eb-b15e-0b80bac6b68c,Judy Dyer,2001-09-09,531358019,self,QBGS83195520,882166
afe5d47a-ee34-47ba-bbdd-1348baf4c7fa,96b5e8ec-54f4-4e9c-bf2a-d3f8f2dcf031,Andrew Baker,1917-03-21,142919239,guardian,XOCZ93512264,486302
586c81e7-58f4-4ae6-adf0-6805c9565d1f,30bc7abc-e0e2-4ac6-a534-8f4f50d5bdb6,George Keller,1941-10-18,750256444,parent,QPEZ42912278,27742
586c81e7-58f4-4ae6-adf0-6805c9565d1f,3221d239-bc70-4533-af3a-05c90d5eec9f,Michael Wagner,1948-06-01,811616194,guardian,LKYM91458565,46955
7628e959-fb67-4a01-bdcf-b3d5aaefe72c,82084eab-c9b4-437b-ac4a-fc45a3a8971c,Rebecca Adams,1994-02-26,515083779,guardian,EJKJ59533698,688500
ca982581-7bcc-4c1c-b9cd-f050d631b828,3350272e-0fdd-4dd9-a296-4a584155d8f9,Philip Thornton,2012-05-28,802911278,spouse,RZSJ59247147,418839
5cd4fa35-0187-4a5c-9b0e-dcf9cae12bce,1430d90f-36db-4f02-be2b-48892f2afef7,Douglas Holmes,1934-05-18,730492710,spouse,MWQU47290317,197069
5cd4fa35-0187-4a5c-9b0e-dcf9cae12bce,a81d4e7e-4df7-4efc-832a-7e78de50d69d,Patricia Frye,1953-03-16,562109439,self,LPHJ52268208,844916
586c81e7-58f4-4ae6-adf0-6805c9565d1f,9de93654-b790-4a62-8bd6-bbfeb52dff98,Mark Garza,1934-10-13,563518028,spouse,IFBB66301622,443467
52ba883d-e52a-4653-96d2-3836efa86d81,1bcbd5bf-a197-4abd-8369-5c8d938f930e,Dylan Kirby,1921-02-18,834494191,guardian,PKQV95615986,150821
0605e25f-6487-4bae-a837-f29a3a085137,c06380bd-a2d7-425a-974f-3a8df0b8d398,Joe Holloway,1948-01-14,667460646,self,ZAIH38857582,342866
7628e959-fb67-4a01-bdcf-b3d5aaefe72c,56f1d8ca-8766-4ee7-a07e-9c7e8fd00437,Matthew Smith,1936-01-20,245672437,self,XVYK16879222,840494
0605e25f-6487-4bae-a837-f29a3a085137,0d774708-5c00-44d8-aef8-fd9cf70d2fcb,Timothy Anderson,1918-06-16,123550132,parent,FGPC21604060,269892
afe5d47a-ee34-47ba-bbdd-1348baf4c7fa,5cde82cc-8532-4e8f-850d-e0e82af7f4a2,Jack Mcpherson,1938-05-21,126625505,self,XNUY41005401,489533
586c81e7-58f4-4ae6-adf0-6805c9565d1f,02e987af-44eb-40ca-81bb-ff21d29ae090,Derek Lane,1984-09-25,897397798,self,SWIJ57591699,469504
7628e959-fb67-4a01-bdcf-b3d5aaefe72c,c029f18f-6f89-40d2-9d9b-81d0fbc4c089,Andrea Ford,1967-09-10,685942385,guardian,IHKH1840179,473755
ca982581-7bcc-4c1c-b9cd-f050d631b828,e80fd811-bd68-4c17-8362-337622f232ca,David Walsh,1981-03-02,122894028,self,VGCB94717917,558093
60446808-1305-419c-a9e9-5d25d324967c,4e4442f5-162d-41ab-b026-62ba49d4fb25,Andres Rivera,1952-08-12,610539410,spouse,LJQX68794842,674222
5cd4fa35-0187-4a5c-9b0e-dcf9cae12bce,d1326b0f-d514-419d-ac1a-1f2907e1dce7,Christopher Zimmerman,2010-12-25,533672285,guardian,EDKQ13509976,470462
7628e959-fb67-4a01-bdcf-b3d5aaefe72c,443327a9-a5fc-461d-ba13-4c2af48ef063,Stephen Jenkins,1983-09-14,775335571,self,LDTB92452403,915822
586c81e7-58f4-4ae6-adf0-6805c9565d1f,4f7242f6-31e3-4021-ae65-ec863c2c60c5,Leah Martinez,1994-03-20,565071837,spouse,UTDA63189550,160369
afe5d47a-ee34-47ba-bbdd-1348baf4c7fa,be59674e-94ca-4d90-8286-e2f1d6f7dcc1,Brett Oneill,2002-12-24,784654481,self,VVTN35703794,703290
ca982581-7bcc-4c1c-b9cd-f050d631b828,87a8427c-0f15-4351-96f7-06b90ecaa107,Paula White,1996-09-12,451987034,self,BBPS89690569,36461
52ba883d-e52a-4653-96d2-3836efa86d81,6aeed028-80fe-49fb-9aed-d92ee3876a3d,Melissa Harrington,1923-08-12,204059416,parent,RRFQ7968934,853195
52ba883d-e52a-4653-96d2-3836efa86d81,770980dc-07a5-4fb8-9f21-0edb64cb970f,Suzanne Lawrence,1916-03-14,334319629,guardian,SVDV94498649,82842
0605e25f-6487-4bae-a837-f29a3a085137,1a56d5e2-ae18-4107-bd57-87b84a352c68,Charles Garcia,1929-04-15,690782147,parent,JDJQ19754679,389649
60446808-1305-419c-a9e9-5d25d324967c,a0654bb6-c92f-4cc6-bb0f-40cfa5322676,Tammy Long,1965-03-10,834812937,self,FXKH14795055,864181
7628e959-fb67-4a01-bdcf-b3d5aaefe72c,b6537c70-c035-48e1-86fc-221b4c3ad37a,James Casey,2007-09-07,316450851,guardian,DBPZ51175329,35551
60446808-1305-419c-a9e9-5d25d324967c,a18ac929-d5f6-4d2c-973e-06316cd1f1c9,Ashley Lee,1940-09-17,404088447,self,MCGM34707045,780557
0605e25f-6487-4bae-a837-f29a3a085137,38c193f8-03bd-4323-865e-bf7d775cb95b,Rachel Goodwin,1911-06-08,500489389,parent,DMJM68479485,240639
0605e25f-6487-4bae-a837-f29a3a085137,41804c4a-1cb7-429d-a59a-87e8cd2c0095,Rachel Montes,1910-12-02,348025803,spouse,ISIO77857388,200171
5cd4fa35-0187-4a5c-9b0e-dcf9cae12bce,4ca1a3c9-8510-4d62-9d68-ef7de4c55132,Leslie Wilson,1963-06-21,269469903,self,PYKB33079137,987354
52ba883d-e52a-4653-96d2-3836efa86d81,b762ca83-fcdd-4827-92a4-09f6d225b0e8,Cindy Hines,2018-02-01,855319959,spouse,CEMP32646543,561771
52ba883d-e52a-4653-96d2-3836efa86d81,2f4603d1-29ce-48a5-9942-03a2a623e683,Michael Peters,1991-02-17,855104554,parent,RCDX92133678,544938
5cd4fa35-0187-4a5c-9b0e-dcf9cae12bce,c09b5506-d25b-4834-b6d2-00a011dfe808,Justin Griffin,1992-11-22,654213200,spouse,VUTC42398368,760820
7628e959-fb67-4a01-bdcf-b3d5aaefe72c,98a32f7d-ef75-4dc4-a282-51af33c6403b,Michael Schneider,1981-11-12,268724780,self,ACJP87275691,119215
586c81e7-58f4-4ae6-adf0-6805c9565d1f,131adb6b-836f-4e2b-bc55-062e03876726,Kristopher Durham,1971-07-07,168923219,self,KWKE79891316,617492
52ba883d-e52a-4653-96d2-3836efa86d81,63a21825-0b6f-46cb-8305-1e8d7cc96a73,April Hill,1989-01-19,690356623,self,QKTO79258533,422417
586c81e7-58f4-4ae6-adf0-6805c9565d1f,9a49d0af-cfe6-4f80-a7f0-eb83b5069a34,Linda Stephens,1939-11-11,696109215,self,HTUR88899780,478849
5cd4fa35-0187-4a5c-9b0e-dcf9cae12bce,cf1e84f6-98c7-4ae0-abe4-1aa71658cd83,Gregory Wilson,1991-08-26,170632905,self,FRMS82833918,565353
0605e25f-6487-4bae-a837-f29a3a085137,1c578ca1-dfe3-412b-82ca-cd0de4374a75,Peter Rodriguez,1986-07-19,185712109,spouse,KFTI98248178,4442
afe5d47a-ee34-47ba-bbdd-1348baf4c7fa,b60dc5c3-cc35-4b02-8f3b-8186e076489d,Elizabeth Kelly,1980-07-30,762042593,self,CPFJ40458398,79875
ca982581-7bcc-4c1c-b9cd-f050d631b828,259e9885-37ff-4227-8787-77f15bddf55b,Roger Whitehead,1948-11-04,479734773,self,DHMY13054710,454602
60446808-1305-419c-a9e9-5d25d324967c,3b0dc254-18d1-490d-b7e3-ae736e7943c4,Timothy Moore,1990-02-27,346468792,parent,SHCH2434373,439750
ca982581-7bcc-4c1c-b9cd-f050d631b828,22f2de48-371b-4ede-b662-c28a0b034bbc,Wendy Mitchell,1911-03-14,333159789,guardian,EGQY46865002,127724
7628e959-fb67-4a01-bdcf-b3d5aaefe72c,7ecb437b-d563-485e-8dce-0acdbfae7eb5,Benjamin Jones,1980-06-14,818068945,self,RNDJ10514975,394387
7628e959-fb67-4a01-bdcf-b3d5aaefe72c,d1899b85-42c4-4d0b-8789-8deb97e72199,Robert Ryan,1999-10-24,430805029,self,TSVF21686243,721076
0605e25f-6487-4bae-a837-f29a3a085137,d78e07a9-cd81-4106-9a25-bb52b17b5fc9,Patricia Miller,1965-12-16,197258238,self,XCHZ30384744,728843
5cd4fa35-0187-4a5c-9b0e-dcf9cae12bce,a0938ab1-cf1c-4a9a-bb13-49dc08911fe6,Robert Rodriguez,1970-10-20,798444262,self,WFOR1025494,953279
afe5d47a-ee34-47ba-bbdd-1348baf4c7fa,e964f53a-8446-4333-8c6c-ca948f7a5915,Angel Murphy,2019-01-03,367942046,spouse,YUVH47963999,253513
ca982581-7bcc-4c1c-b9cd-f050d631b828,252c815e-942c-4b5f-b7db-3e4d523933c6,Deborah Johnson,1941-08-17,799671237,self,GHYE23847424,387684
5cd4fa35-0187-4a5c-9b0e-dcf9cae12bce,dfa8c1c2-915f-43fa-a250-c66cf75d79bb,Mitchell Kennedy,1985-12-26,115088799,self,CZVK76390321,139762
7628e959-fb67-4a01-bdcf-b3d5aaefe72c,bbfae988-ac5c-41c2-aa14-0db146dde7da,Eric Hamilton,1935-11-26,956016958,self,MCVQ79168273,772435
7628e959-fb67-4a01-bdcf-b3d5aaefe72c,8f114186-dd54-40c7-921f-312e9a057fb2,Jonathan Hernandez,2005-05-15,632296813,self,ZJKC16491439,731279
60446808-1305-419c-a9e9-5d25d324967c,df217e41-3d1e-4b8c-ac3e-3024c5652baf,James Coleman,1918-07-21,951270659,spouse,JLFR58502641,78297
52ba883d-e52a-4653-96d2-3836efa86d81,d6049f4d-c312-4a02-b8b0-c7efabccc615,Stephen Owens,1941-01-29,659298344,self,OVXK69857997,187997
7628e959-fb67-4a01-bdcf-b3d5aaefe72c,9e9dd611-b727-450a-b83f-9a935b21ca05,Kelly Roberts,2003-11-14,403327567,self,WGDI20043910,655244
ca982581-7bcc-4c1c-b9cd-f050d631b828,28150605-63c0-4102-8f62-2c7d0543f1b8,Mark Burton,1989-09-26,526757705,self,GHHR29423475,698076
7628e959-fb67-4a01-bdcf-b3d5aaefe72c,1244ac41-d4ab-460c-98bd-b5e9f744363a,Nina Herman,1971-10-28,990556359,self,ISOS96172429,402110
5cd4fa35-0187-4a5c-9b0e-dcf9cae12bce,3757887e-a555-4e65-a077-94d44661df88,Mark Leonard,1977-06-28,894555221,self,JQVB25693686,511789
52ba883d-e52a-4653-96d2-3836efa86d81,12508cd2-ced4-453a-9df6-46621bd4d5e8,Antonio King,1957-11-17,408025281,self,FOPD31526315,7201
7628e959-fb67-4a01-bdcf-b3d5aaefe72c,06797e72-f1aa-49b5-9e39-9b0072654432,Dwayne Mata,1987-03-31,634431460,self,KCVN41546121,137012
60446808-1305-419c-a9e9-5d25d324967c,3eef34d7-1f6e-4c00-984e-6a53942c6ae1,Karen Mcpherson,1943-12-26,830930245,self,XLWU12487508,317624
7628e959-fb67-4a01-bdcf-b3d5aaefe72c,a71753c5-540e-4db5-a4aa-803f1e40bef0,Jesse Reynolds,1992-10-01,183547897,self,XBPB22963160,221510
586c81e7-58f4-4ae6-adf0-6805c9565d1f,cc57c235-7780-4954-926a-5db65839e7d1,Caitlin Crane,1942-12-16,981684915,self,FIUP19654712,874573
60446808-1305-419c-a9e9-5d25d324967c,2ef68764-2654-452b-b869-a4d1be5bc82c,Kimberly Hill,2004-06-15,138466404,self,AWDM50822234,699666
7628e959-fb67-4a01-bdcf-b3d5aaefe72c,f2b320dc-b8c9-4df9-9603-077bfb417545,Jason Johnson,1995-03-31,868443643,self,FKYD64971312,741373
ca982581-7bcc-4c1c-b9cd-f050d631b828,157c0772-a5ae-4d00-b268-6ec444e1f61d,Dennis Rhodes,1957-03-03,255416638,self,BBZD16528549,79060
7628e959-fb67-4a01-bdcf-b3d5aaefe72c,289f4277-cb17-4a3f-98b4-593b0b074c98,Jennifer Hawkins,1934-08-23,128750718,self,FUCX58690295,635463
afe5d47a-ee34-47ba-bbdd-1348baf4c7fa,3a0a702d-e906-4945-9abc-506860678768,Craig Brown,1932-06-28,369604665,guardian,XAQF82622881,220892
7628e959-fb67-4a01-bdcf-b3d5aaefe72c,7fb2ba53-38d2-42fe-9508-728559b4d4f2,Rick Wise,1944-03-24,263453845,self,LEWM75152590,278895
52ba883d-e52a-4653-96d2-3836efa86d81,0f493985-633e-4637-af21-2ac4e480b904,David Russell,1968-12-29,353750920,self,SRSS40095017,874242
60446808-1305-419c-a9e9-5d25d324967c,5078ecbf-1983-43c6-97e5-5718855154be,Todd Brown,1987-06-15,415962250,guardian,PSOW16559008,415903
586c81e7-58f4-4ae6-adf0-6805c9565d1f,e1428421-e7d8-41ff-8df2-aa05c7028cb1,Sarah Bowman,1947-03-31,677688976,self,ICML12571754,551321
0605e25f-6487-4bae-a837-f29a3a085137,bf648968-fa41-430c-a1c5-529901d74b9a,Samuel Duffy,2005-10-27,633790392,self,NABV13129335,405743
0605e25f-6487-4bae-a837-f29a3a085137,7ea4d41b-9a2a-444c-b14d-3fbd7e39458f,Yesenia Jones,1934-10-28,718719839,self,PINP67047623,289060
586c81e7-58f4-4ae6-adf0-6805c9565d1f,1a2aa174-b2c0-4271-9494-103a51b5bd0a,Jason Wheeler,1993-10-09,319209651,spouse,GOQF2175553,144349
5cd4fa35-0187-4a5c-9b0e-dcf9cae12bce,cbd3c7e6-55b6-4e48-8197-3f3ca51d3829,Cheryl Shannon,1992-10-16,596749847,self,YOZO7830146,303090
5cd4fa35-0187-4a5c-9b0e-dcf9cae12bce,4696168d-5560-485b-ab99-18cd1b9601ac,Sheri Hawkins,1936-01-23,203331907,self,ACWV50435340,322498
0605e25f-6487-4bae-a837-f29a3a085137,370e8983-33de-48f0-a20f-91518b7772ba,Zachary Patrick,1983-03-21,905775512,self,ACIC26399704,389693
afe5d47a-ee34-47ba-bbdd-1348baf4c7fa,47eaddac-d4c2-4fdd-aa96-ca99e4e9fab1,Lucas Frye,1954-12-16,262540793,spouse,UOAX2036122,466867
ca982581-7bcc-4c1c-b9cd-f050d631b828,d46f4240-a31d-4c35-bfb4-27136557eef0,William Parsons,1935-08-10,313061233,self,CZYF84287243,39695
7628e959-fb67-4a01-bdcf-b3d5aaefe72c,23855cf6-5a15-4b3d-aa88-85d686ef0188,Margaret Edwards,1928-11-02,484963138,guardian,NBTA3634874,483425
52ba883d-e52a-4653-96d2-3836efa86d81,f8bd1cdd-48c6-445c-9d38-c0e15a593ec4,Earl Phillips MD,1945-01-02,770334144,guardian,VYJN39904624,959618
52ba883d-e52a-4653-96d2-3836efa86d81,6586d3a5-fed9-49ce-a576-c85ac799ce84,Kevin Contreras,1953-06-23,582331732,self,FGEL79310974,884093
0605e25f-6487-4bae-a837-f29a3a085137,d914c023-f965-427f-ad3f-435e026bf530,Caleb Mcmahon,1985-06-13,736109546,self,FNLB78962656,913454
7628e959-fb67-4a01-bdcf-b3d5aaefe72c,f3954ad3-f471-4cd5-afb0-2be3b6544c30,Courtney Conner,2024-02-02,367217861,parent,QNCU53740489,437728
7628e959-fb67-4a01-bdcf-b3d5aaefe72c,8f590935-02aa-4d8c-9183-317fe51da4f7,Robin Gibson,1935-10-19,276480949,self,WWQB12722293,95898
afe5d47a-ee34-47ba-bbdd-1348baf4c7fa,db49a23a-dd0c-4181-a0d6-49fc779d4f0a,Steve Evans,1963-08-30,381848650,self,SMZZ71027579,767112
7628e959-fb67-4a01-bdcf-b3d5aaefe72c,df997a06-3642-4084-8875-bd6472074372,Douglas Gill,1964-09-19,149187482,guardian,NPDM7264838,820208
586c81e7-58f4-4ae6-adf0-6805c9565d1f,69f23740-16c3-4a2e-aa22-93deb2d50edf,David Fox,1971-08-08,495625736,self,URFN55270110,872591
0605e25f-6487-4bae-a837-f29a3a085137,26991a7b-516b-4ca4-a447-d1e3b95525ea,Sherry Mcgrath,1987-07-05,409965980,self,KTMH9782951,324888
60446808-1305-419c-a9e9-5d25d324967c,f09ddf5c-4e37-42ef-9353-7be72314710f,William Gordon,1974-03-06,275934382,self,XGSN70009132,73087
0605e25f-6487-4bae-a837-f29a3a085137,329e3127-f5f8-4d85-a1bf-0b89c3d127f3,Joy Berger,1911-07-24,348815812,spouse,BFBN98280750,333624
7628e959-fb67-4a01-bdcf-b3d5aaefe72c,0def5f9e-a253-46f7-aff9-bfd260b92581,Jesus Blackwell,1956-02-27,998861496,self,XRKW91992992,598232
ca982581-7bcc-4c1c-b9cd-f050d631b828,09c5a6fc-3e6f-47b2-bacd-ff0e4577e66b,David Hayes,1993-07-21,338711540,spouse,WOGP68715839,466827
0605e25f-6487-4bae-a837-f29a3a085137,b7286591-b76b-42e0-9e7e-4edeecdf90d8,Danielle Cox,1975-06-06,897023107,self,ROXX83802276,200750
52ba883d-e52a-4653-96d2-3836efa86d81,70657fbc-ac5e-48a7-8ee4-b821a77965b7,Eric Cardenas,1999-06-01,287272650,spouse,LOXL31210005,174299
7628e959-fb67-4a01-bdcf-b3d5aaefe72c,20a61a88-c2a9-4665-84fa-08c2517eacb6,Dana Martinez,1969-05-04,355938597,self,WNTZ92969074,42846
afe5d47a-ee34-47ba-bbdd-1348baf4c7fa,7455488c-25ef-4f7e-ae53-d3abad7b0859,Kendra Johnson,1933-04-06,416271871,spouse,UCBC91229688,583536
0605e25f-6487-4bae-a837-f29a3a085137,18ca2d81-e1d5-43c8-b227-c254b756c1a3,Michael Lawson,1994-07-08,427758826,guardian,YZHI3602058,301508
7628e959-fb67-4a01-bdcf-b3d5aaefe72c,1bcabcea-9432-48f2-b0af-6d3eb2b8e176,Sarah Burton,1938-02-08,872179278,spouse,JDDY92417514,516324
7628e959-fb67-4a01-bdcf-b3d5aaefe72c,aca9da77-04ea-4a41-b91c-b7d0d8e7fe48,Jimmy Berger,1995-07-12,782571659,parent,NUQU48316051,997684
ca982581-7bcc-4c1c-b9cd-f050d631b828,881a2b1e-4fdf-482e-8629-7b2bdc22241d,Rebecca Weber,1954-03-19,348486698,self,HOAX84865440,658389
7628e959-fb67-4a01-bdcf-b3d5aaefe72c,daae249a-6e5a-470f-bf0a-abbbe10baf1f,Sarah Hall,1962-12-02,137457292,self,IKMF70328409,101773
586c81e7-58f4-4ae6-adf0-6805c9565d1f,5e148d56-ab16-4c84-b249-4b184efaae7b,Chad Carpenter,1993-11-11,160776470,self,IWGC28365599,721254
0605e25f-6487-4bae-a837-f29a3a085137,d4bcb7fd-c466-4615-9723-35d78f4132f8,Meghan Williamson,1986-11-14,338137522,guardian,RATY39585870,225918
60446808-1305-419c-a9e9-5d25d324967c,a0fecf24-ea86-4914-bcd1-809d05d3ee24,James Rollins,2022-08-20,747760365,spouse,TUHE75673982,125913
586c81e7-58f4-4ae6-adf0-6805c9565d1f,4a87816a-8d71-4b06-a698-82d87abefde7,Christine Hernandez,1974-01-09,715238117,self,IQAZ23483965,97932
afe5d47a-ee34-47ba-bbdd-1348baf4c7fa,541c9c43-f5a9-433b-87d2-f424afe33f15,Jeffery Anderson,1963-11-03,592353041,self,QXYV61240206,184207
5cd4fa35-0187-4a5c-9b0e-dcf9cae12bce,c5fb4674-331f-480f-baef-8853a2090531,Carla Torres,1964-04-02,170509913,parent,ZNAD56676418,881446
afe5d47a-ee34-47ba-bbdd-1348baf4c7fa,0f78dcc8-7b52-461b-9912-1d5782d99e6a,Nicole Smith,1951-12-14,992548962,parent,YJQL39949992,507560
60446808-1305-419c-a9e9-5d25d324967c,9529ce85-6ae0-4a03-b16b-e645976d80a5,Adam Yu,1936-05-09,605152875,self,SCAM80966800,591137
afe5d47a-ee34-47ba-bbdd-1348baf4c7fa,98815ba9-490a-45bf-8a74-03b5c8067c7e,Virginia Jones,1957-04-14,253629378,parent,PIGX53596699,775399
586c81e7-58f4-4ae6-adf0-6805c9565d1f,2f984c9f-1c10-4d6d-b01c-4a2d045becc7,Frances Lewis,1935-10-18,316451236,self,QDYB81591260,966709
60446808-1305-419c-a9e9-5d25d324967c,70f2af7c-cf54-4fc8-aea5-b3f1ed134beb,Lori Flynn,1912-04-21,945057225,guardian,NOMZ53575936,537008
5cd4fa35-0187-4a5c-9b0e-dcf9cae12bce,2a48e19c-2526-4799-8b4b-378a4c50891f,Jessica Boone,2016-12-05,853213340,spouse,PEZC59857011,90799
60446808-1305-419c-a9e9-5d25d324967c,7bf20440-942d-4a66-8d8b-5887d395b47b,Gerald Tate,1939-01-27,187778174,parent,RSRO46404750,757342
7628e959-fb67-4a01-bdcf-b3d5aaefe72c,79709bea-5fa0-4dca-939a-bf670fa4ddb6,Andrew Horn,2010-03-19,684027865,parent,OBRN88799517,272793
7628e959-fb67-4a01-bdcf-b3d5aaefe72c,f2b6cc5f-09bc-43d5-a3b7-c18766c206c3,Mathew Jenkins,1974-09-12,711053866,self,FSAL69321484,995363
0605e25f-6487-4bae-a837-f29a3a085137,8416f055-9bde-409b-98ff-a3befb0cac76,Kent Brown,1939-07-06,643478510,parent,YZMV38069725,342501
7628e959-fb67-4a01-bdcf-b3d5aaefe72c,128a205d-6355-4e24-9bee-5b128cf9a190,Matthew Molina,2006-01-01,354754344,self,HHQV11917338,607219
0605e25f-6487-4bae-a837-f29a3a085137,f1b2f2cd-5978-45b3-898d-08d052178605,Kayla Murphy,2015-10-11,359971754,guardian,FFAS30669577,183434
7628e959-fb67-4a01-bdcf-b3d5aaefe72c,639d7555-ad95-47e4-bd16-ef8089f22980,Joshua Cummings,1943-02-10,961443011,parent,XAEY43553967,153210
60446808-1305-419c-a9e9-5d25d324967c,667b7a27-93dd-414a-b11e-41de0c7e9f59,Amy Stewart,1938-07-03,725840061,spouse,GNAT49050552,431777
60446808-1305-419c-a9e9-5d25d324967c,17c8c3c8-f4ac-4e7a-81bb-46b3135647cf,Shane Smith,2000-01-06,448528770,self,MBRF77070675,848146
7628e959-fb67-4a01-bdcf-b3d5aaefe72c,c370eb04-8b67-4151-ae6c-8a09a72e20a7,Sarah Rodriguez,1938-10-11,432400994,self,WKSD10172283,92843
ca982581-7bcc-4c1c-b9cd-f050d631b828,f91aab59-97c5-4da2-ab11-d09ab3eaba15,Keith Baker,1978-06-24,887326246,spouse,JVRV44377493,514409
ca982581-7bcc-4c1c-b9cd-f050d631b828,fbd8cf7c-dedb-47e8-9967-82417c07b92b,William Hicks,1987-01-12,272501096,parent,MRRM82815147,531405
ca982581-7bcc-4c1c-b9cd-f050d631b828,79c8830a-a652-4c8f-b9a4-84d72fd36be9,Michelle Deleon,1973-04-18,271980958,self,CRWE41097355,208303
7628e959-fb67-4a01-bdcf-b3d5aaefe72c,fe81c930-b304-4aaf-9ce3-62b7eade5562,Kyle Davis,1983-08-09,928918693,self,VHGR45141314,207027
60446808-1305-419c-a9e9-5d25d324967c,2423eaea-db89-4b2f-9da9-ef9b00311079,Stephanie Hawkins,1948-07-11,192563297,parent,UTQH38524200,503309
0605e25f-6487-4bae-a837-f29a3a085137,01451549-7a50-42b8-93d3-84cc77bc933c,Steven Larson,1959-11-30,509332378,self,KCUH20264171,993205
5cd4fa35-0187-4a5c-9b0e-dcf9cae12bce,12e4f41d-f256-4399-9162-869350f9b2d3,Katie Goodwin,1993-03-19,970241613,self,QMHZ27123867,835317
52ba883d-e52a-4653-96d2-3836efa86d81,2e4e8577-1cc6-446e-81d6-abc5b965b31d,Miguel Ferguson,1923-02-01,863591472,spouse,TUEA7789739,707472
afe5d47a-ee34-47ba-bbdd-1348baf4c7fa,ee0a5b33-88b4-492e-9532-fe399bc370f9,Tammy Rivas,1973-12-09,502422969,spouse,HQYY38697081,320928
586c81e7-58f4-4ae6-adf0-6805c9565d1f,2d5ef900-2240-4dac-9579-8f229019747b,Grace Lynn,1946-08-31,677252193,guardian,USET92795367,639771
